"Note_Id"	"Prompt"	"Prompt_Raw"	"SAS_Show_Prompt"	"SAS_Prompt"	"SAS_Prompt_Raw"	"SAS1"	"SAS1_Raw"	"SAS2"	"SAS2_Raw"	"SAS_Refs"	"SAS_Refs_Raw"	"SAS_Cat"	"R_Prompt"	"R_Prompt_Raw"	"R1"	"R1_Raw"	"R2"	"R2_Raw"	"R_Cat"	"R_vs_SAS"	"R_vs_SAS_Raw"	"Tags"
"DS046303"	"Given a modified ODS Statistical Graph &apos;specification&apos;, use it to create a modified graph."	"Given a modified ODS Statistical Graph 'specification', use it to create a modified graph."	"Y"	"What is the &apos;specification&apos; called?<br><br>Describe how the process differs if this was completely new specification and not a modification of an existing specification."	"What is the 'specification' called?

Describe how the process differs if this was completely new specification and not a modification of an existing specification."	"(1) Create a template store for the project, either in a permanent library for your project, or in WORK.<br><font class=dscode>ODS PATH SHOW;</font> - show current path, probably just <font class=dscode>sashelp.tmplmst</font><br><font class=dscode>ODS PATH work.mystore(UPDATE) sashelp.tmplmst(READ);</font> - add a new store<br><br>(2) Execute the PROC TEMPLATE statement that you modified. There is no need to specify the desired storage location in this PROC. It will use the first store in ODS PATH of type UPDATE. Note how we have left the modified template in its own file to make it easier to do a file comparison between in and the original version (which we recommend you save without modifying).<br><font class=dscode>PROC TEMPLATE;</font><br><font class=dscode>    %INCLUDE &apos;modified_template.sas / NOSOURCE;</font><br><font class=dscode>RUN;</font><br><br>(3) The template will be used the next time the procedure is called, assuming the ODS PATH is still as above, since the first template found with the appropriate name will be used."	"(1) Create a template store for the project, either in a permanent library for your project, or in WORK.
`ODS PATH SHOW;` - show current path, probably just `sashelp.tmplmst`
`ODS PATH work.mystore(UPDATE) sashelp.tmplmst(READ);` - add a new store

(2) Execute the PROC TEMPLATE statement that you modified. There is no need to specify the desired storage location in this PROC. It will use the first store in ODS PATH of type UPDATE. Note how we have left the modified template in its own file to make it easier to do a file comparison between in and the original version (which we recommend you save without modifying).
`PROC TEMPLATE;`
`    %INCLUDE 'modified_template.sas / NOSOURCE;`
`RUN;`

(3) The template will be used the next time the procedure is called, assuming the ODS PATH is still as above, since the first template found with the appropriate name will be used."	"If this was a new template, the first line after PROC TEMPLATE will be:<br><font class=dscode>define statgraph myname;</font>, where <font class=dscode>myname</font> is the name chosen by the user.<br><br>The graph can then be generated using:<br><font class=dscode>PROC SGRENDER DATA=myset TEMPLATE=myname; RUN;</font>"	"If this was a new template, the first line after PROC TEMPLATE will be:
`define statgraph myname;`, where `myname` is the name chosen by the user.

The graph can then be generated using:
`PROC SGRENDER DATA=myset TEMPLATE=myname; RUN;`"	""	""	"ods"	""	""	""	""	""	""	"XTBD_display"	""	""	"SAS_include R_XTBD_display SAS_ods"
"DS046810"	"Give PROC for defining a ______ (which is used to define [potentially] different value for display for each value of a variable)."	"Give PROC for defining a ______ (which is used to define [potentially] different value for display for each value of a variable)."	"Y"	"Give syntax for mapping &apos;A&apos; to &apos;Apple&apos;, missing to &apos;Missing&apos; and anything else to &apos;Anything Else&apos;."	"Give syntax for mapping 'A' to 'Apple', missing to 'Missing' and anything else to 'Anything Else'."	"<font class=dscode>PROC FORMAT;</font><br><font class=dscode>  VALUE $fmtname</font><br><font class=dscode>    &apos;A&apos; = &apos;Apple&apos;</font><br><font class=dscode>    &apos; &apos; = &apos;Missing&apos;</font><br><font class=dscode>    other = &apos;Anything Else&apos;;</font><br><font class=dscode>RUN;</font><br><br>When referring to the format later, <font class=dscode>.</font> must be used, but it must not be included in <font class=dscode>$fmtname</font> above."	"`PROC FORMAT;`
`  VALUE $fmtname`
`    'A' = 'Apple'`
`    ' ' = 'Missing'`
`    other = 'Anything Else';`
`RUN;`

When referring to the format later, `.` must be used, but it must not be included in `$fmtname` above."	""	""	""	""	"base"	""	""	""	""	""	""	"XS"	""	""	"SAS_include R_XS SAS_base"
"DS047966"	"Trim whitespace from a string."	"Trim whitespace from a string."	"Y"	"Strip leading and trailing whitespace.<br><br>Strip just trailing whitespace.<br><br>Strip just leading whitespace."	"Strip leading and trailing whitespace.

Strip just trailing whitespace.

Strip just leading whitespace."	"<font class=dscode>STRIP(str)</font> – remove front and trailing whitespace<br><br><font class=dscode>TRIM(str)</font> – remove trailing whitespace<br><br><font class=dscode>LEFT(str)</font> - remove leading whitespace"	"`STRIP(str)` – remove front and trailing whitespace

`TRIM(str)` – remove trailing whitespace

`LEFT(str)` - remove leading whitespace"	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS048230"	"Are multiple WHERE statements possible? What about subsetting IF statements?"	"Are multiple WHERE statements possible? What about subsetting IF statements?"	"Y"	""	""	"Multiple subsetting IF statements are possible.<br><br>For WHERE statements, the documentation is a bit unclear. There is certainly support for <font class=dscode>WHERE SAME AND</font> syntax that extends a previous WHERE statement if it exists (with no error if it doesn&apos;t). If community forums are to be believed, <font class=dscode>WHERE ALSO</font> is the same as this, but this is not documented at [1].<br><br>If a second WHERE statement occur without the above operators, I believe the new statement replaces any former clause with a note inserted in the log, but again, this is not documented at [1]. "	"Multiple subsetting IF statements are possible.

For WHERE statements, the documentation is a bit unclear. There is certainly support for `WHERE SAME AND` syntax that extends a previous WHERE statement if it exists (with no error if it doesn't). If community forums are to be believed, `WHERE ALSO` is the same as this, but this is not documented at [1].

If a second WHERE statement occur without the above operators, I believe the new statement replaces any former clause with a note inserted in the log, but again, this is not documented at [1]. "	""	""	"[1] SAS Institute Inc. 2016. <i>SAS/STAT® 9.4 DATA Step Statements: Reference</i>. Cary, NC: SAS Institute Inc. Available online at: <a>https://documentation.sas.com/api/collections/pgmsascdc/9.4_3.5/docsets/lestmtsref/content/lestmtsref.pdf?locale=en#nameddest=titlepage</a>. Version: June 17, 2025. Date retrieved: February 2, 2026.<br>Section: &apos;WHERE statement&apos;"	"[1] SAS_REF_DSST. Version: June 17, 2025. Date retrieved: February 2, 2026.
Section: 'WHERE statement'"	"base"	""	""	""	""	""	""	"XS"	""	""	"SAS_include R_XS SAS_base"
"DS048390"	"What functions are available for calculating a variable that is a cumulative sum (or other cumulative statistic) of another variable."	"What functions are available for calculating a variable that is a cumulative sum (or other cumulative statistic) of another variable."	""	"What statement is important for calculating cumulative results? Give simple code for creating a <font class=dscode>cumexp</font> variable from an <font class=dscode>exp</font> variable by patid. Give two ways of incrementing the total."	"What statement is important for calculating cumulative results? Give simple code for creating a `cumexp` variable from an `exp` variable by patid. Give two ways of incrementing the total."	"A RETAIN statement or Sum statement can be used. These specify that a variable should retain its value across iterations of the data step. BY-group processing can be used to set or reset the value at the first by-group.<br><br>Method 1: Note no need for a RETAIN statement, as the Sum statement (<font class=dscode>cumexp + exp;</font>) forces the variable <font class=dscode>cumexp</font> to be retained, just as if a RETAIN statement was used.<br><font class=dscode>DATA set2;</font><br><font class=dscode>  SET set1;</font><br><font class=dscode>  BY patid;</font><br><font class=dscode>  IF FIRST.patid THEN cumexp=exp;</font><br><font class=dscode>  ELSE cumexp + exp;</font><br><font class=dscode>RUN;</font><br><br>Method 2: Don&apos;t use the Sum statement. A RETAIN statement is then needed.<br><font class=dscode>  RETAIN cumexp;</font><br><font class=dscode>  IF FIRST.patid THEN cumexp=exp;</font><br><font class=dscode>  ELSE cumexp = cumexp + exp;</font> "	"A RETAIN statement or Sum statement can be used. These specify that a variable should retain its value across iterations of the data step. BY-group processing can be used to set or reset the value at the first by-group.

Method 1: Note no need for a RETAIN statement, as the Sum statement (`cumexp + exp;`) forces the variable `cumexp` to be retained, just as if a RETAIN statement was used.
`DATA set2;`
`  SET set1;`
`  BY patid;`
`  IF FIRST.patid THEN cumexp=exp;`
`  ELSE cumexp + exp;`
`RUN;`

Method 2: Don't use the Sum statement. A RETAIN statement is then needed.
`  RETAIN cumexp;`
`  IF FIRST.patid THEN cumexp=exp;`
`  ELSE cumexp = cumexp + exp;` "	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS053611"	"Get rid of an observation from a data step if some expression is true."	"Get rid of an observation from a data step if some expression is true."	"Y"	"Give data step syntax."	"Give data step syntax."	"<font class=dscode>IF (expr) THEN DELETE;</font>"	"`IF (expr) THEN DELETE;`"	""	""	""	""	"base"	""	""	""	""	""	""	"XD"	""	""	"SAS_include R_XD SAS_base"
"DS053685"	"Suppose you have a character vector with missing values. You convert it to a factor. Give a function that treats the <font class=dscode>NA</font> like a level of the factor. Will these NAs be detected using <font class=dscode>anyNA</font> or omitted using <font class=dscode>na.omit</font>?<br><br>Is this the only way missing values can occur in a factor? Is the result the same?"	"Suppose you have a character vector with missing values. You convert it to a factor. Give a function that treats the `NA` like a level of the factor. Will these NAs be detected using `anyNA` or omitted using `na.omit`?

Is this the only way missing values can occur in a factor? Is the result the same?"	"Y"	""	""	""	""	""	""	""	""	"XX"	""	""	"The function is <font class=dscode>addNA(fact)</font>.  The missing values are now ignored by <font class=dscode>anyNA</font>, <font class=dscode>na.omit</font>, etc. They are stored as an integer. Note however they have a label of <font class=dscode>NA</font> and not <font class=dscode>&quot;NA&quot;</font>.<br>If this new variable has a value set to missing, these are also NAs in the factor, but are handled differently, because these NAs are stored as <font class=dscode>NA</font> and not as an integer level of the factor!<br>See below examples.<br><br><font class=dscode>myfact</font> - suppose has two non-missing levels, then <font class=dscode>as.integer(myfact)</font> is an array containing 1, 2, and NA.<br><font class=dscode>newfact = addNA(myfact)</font> - then as.integer(addNA(myfact)) is an array of 1, 2, and 3.<br><font class=dscode>anyNA(newfact)</font>  # <font class=dscode>FALSE</font><br><br><font class=dscode>newfact2 = newfact</font><br><font class=dscode>newfact2[0] = NA</font> - now <font class=dscode>as.integer(newfact2)</font> is an array of 1, 2, 3, and NA.<br><font class=dscode>anyNA(newfact2)</font> # <font class=dscode>TRUE</font>"	"The function is `addNA(fact)`.  The missing values are now ignored by `anyNA`, `na.omit`, etc. They are stored as an integer. Note however they have a label of `NA` and not `""NA""`.
If this new variable has a value set to missing, these are also NAs in the factor, but are handled differently, because these NAs are stored as `NA` and not as an integer level of the factor!
See below examples.

`myfact` - suppose has two non-missing levels, then `as.integer(myfact)` is an array containing 1, 2, and NA.
`newfact = addNA(myfact)` - then as.integer(addNA(myfact)) is an array of 1, 2, and 3.
`anyNA(newfact)`  # `FALSE`

`newfact2 = newfact`
`newfact2[0] = NA` - now `as.integer(newfact2)` is an array of 1, 2, 3, and NA.
`anyNA(newfact2)` # `TRUE`"	""	""	"base"	""	""	"R_include R_base SAS_XX"
"DS057202"	"Concatenate two sets of variables."	"Concatenate two sets of variables."	"Y"	""	""	""	""	""	""	""	""	"XX"	"(tidy-select)<br>Why is the function (sometimes) unnecessary?"	"(tidy-select)
Why is the function (sometimes) unnecessary?"	"Use <font class=dscode>c()</font>"	"Use `c()`"	"Note that can also specify multiple arguments in <font class=dscode>select(...)</font>, which has the same effect.<br><br>But, one might be using tidy-select syntax without using <font class=dscode>select</font>"	"Note that can also specify multiple arguments in `select(...)`, which has the same effect.

But, one might be using tidy-select syntax without using `select`"	"tidy"	""	""	"R_include R_tidy SAS_XX"
"DS059175"	"Create a string consisting of two tab characters."	"Create a string consisting of two tab characters."	"Y"	""	""	"<font class=dscode>var = &apos;0909&apos;x</font> or <font class=dscode>var = &apos;09,09&apos;x</font>"	"`var = '0909'x` or `var = '09,09'x`"	"It&apos;s far more common to only create a string with a single tab, though (e.g., for the DLM option of an INFILE statement)."	"It's far more common to only create a string with a single tab, though (e.g., for the DLM option of an INFILE statement)."	""	""	"base"	""	""	"<font class=dscode>var &lt;- &quot;\t\t&quot;</font>"	"`var <- ""\t\t""`"	""	""	"base_low"	"R: <font class=dscode>var1 &lt;- 0x0909</font> (x = 2323) <br>SAS®: <font class=dscode>var1 = &apos;0909&apos;x</font> (x = character vector consisting of two tabs)"	"R: `var1 <- 0x0909` (x = 2323) 
SAS®: `var1 = '0909'x` (x = character vector consisting of two tabs)"	"R_include SAS_include R_base_low SAS_base"
"DS061305"	"What functions are useful for recoding other variables?"	"What functions are useful for recoding other variables?"	"Y"	"(1) Give <font class=dscode>if</font> syntax.<br>(2) Give <font class=dscode>switch</font> equivalent."	"(1) Give `if` syntax.
(2) Give `switch` equivalent."	"(1) IF ... THEN ... ELSE<br><br>(2) SELECT ... WHEN ... OTHERWISE"	"(1) IF ... THEN ... ELSE

(2) SELECT ... WHEN ... OTHERWISE"	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS070164"	"How to send program output to a RTF or PDF file."	"How to send program output to a RTF or PDF file."	"Y"	""	""	"<font class=dscode>ODS RTF FILENAME=&apos;myfile.rtf&apos; BODYTITLE STYLE=styles.journal;</font><br><font class=dscode>ODS RTF SELECT ods_table_name;</font><br><font class=dscode>ODS RTF EXCLUDE _all_;</font><br><font class=dscode>ODS RTF CLOSE;</font><br><br><font class=dscode>ODS PDF</font> etc."	"`ODS RTF FILENAME='myfile.rtf' BODYTITLE STYLE=styles.journal;`
`ODS RTF SELECT ods_table_name;`
`ODS RTF EXCLUDE _all_;`
`ODS RTF CLOSE;`

`ODS PDF` etc."	"°The syntax listed is minimal RTF syntax. This might be useful if, for example, usually you format production output some other way, but need a quick table that can be loaded into a word processing program. If outputting all output into RTF, users might want more sophisticated methods. There should be a Boston Area SAS® Users Group (BASUG) paper from Heather Ribaudo, Matt Manne, or Brendan Bartley that discusses, for example, integrating with Microsoft Word&apos;s captioning syntax so that a caption is automatically created in each TLF file before importing into the container document. (TBD: find citation)<br><br>†See also: notes for ODS ESCAPECHAR and ODS NOPROCTITLE"	"°The syntax listed is minimal RTF syntax. This might be useful if, for example, usually you format production output some other way, but need a quick table that can be loaded into a word processing program. If outputting all output into RTF, users might want more sophisticated methods. There should be a Boston Area SAS® Users Group (BASUG) paper from Heather Ribaudo, Matt Manne, or Brendan Bartley that discusses, for example, integrating with Microsoft Word's captioning syntax so that a caption is automatically created in each TLF file before importing into the container document. (TBD: find citation)

†See also: notes for ODS ESCAPECHAR and ODS NOPROCTITLE"	""	""	"ods"	""	""	""	""	""	""	"XTBD_display"	""	""	"SAS_include R_XTBD_display SAS_ods"
"DS072297"	"Given a vector, return a logical vector indicating whether the input element is in a list of values."	"Given a vector, return a logical vector indicating whether the input element is in a list of values."	""	"(1) Check whether variable or expr is in list of values. How is the list delimited?<br><br>(2) Is there shorthand available, e.g., to check whether a value is 1-30 or 99?<br><br>(3) Can the same syntax be used to check whether a variable is equal to one of a list of evaluated exprs?<br><br>(4) Can arrays be used to indicate the list of values to check?"	"(1) Check whether variable or expr is in list of values. How is the list delimited?

(2) Is there shorthand available, e.g., to check whether a value is 1-30 or 99?

(3) Can the same syntax be used to check whether a variable is equal to one of a list of evaluated exprs?

(4) Can arrays be used to indicate the list of values to check?"	"(1) <font class=dscode>myvar IN (1, 3, 4)</font> or <font class=dscode>myvar IN (1 3 4)</font><br>The list is delimited with a comma or space.<br><br>(2) <font class=dscode>myvar IN (1:30, 99)</font><br>Can use the &apos;:&apos; operator to indicate range of numbers (end of range included).<br><br>(3) No. The right hand side of <font class=dscode>IN</font> must be a list of literals, not exprs. But <font class=dscode>SELECT (expr); WHEN (expr1, expr2, expr2) ... OTHERWISE ...;</font> can use exprs in the <font class=dscode>WHEN</font> clauses.<br><br>(4) Yes. An array containing a list of literals can be used.<br><br>†<font class=dscode>IN:</font> compares the prefix of the shorter string with the longer one"	"(1) `myvar IN (1, 3, 4)` or `myvar IN (1 3 4)`
The list is delimited with a comma or space.

(2) `myvar IN (1:30, 99)`
Can use the ':' operator to indicate range of numbers (end of range included).

(3) No. The right hand side of `IN` must be a list of literals, not exprs. But `SELECT (expr); WHEN (expr1, expr2, expr2) ... OTHERWISE ...;` can use exprs in the `WHEN` clauses.

(4) Yes. An array containing a list of literals can be used.

†`IN:` compares the prefix of the shorter string with the longer one"	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS072551"	"What does <font class=dscode>x[0]</font> return?"	"What does `x[0]` return?"	"Y"	""	""	""	""	""	""	""	""	"XX"	""	""	"<font class=dscode>x[0]</font> returns a zero-length vector."	"`x[0]` returns a zero-length vector."	"†Indices start at 1 in R"	"†Indices start at 1 in R"	"base"	""	""	"R_include R_base SAS_XX"
"DS073696"	"Calculate natural log of a variable."	"Calculate natural log of a variable."	"Y"	""	""	"<font class=dscode>LOG(var)</font>"	"`LOG(var)`"	""	""	""	""	"base"	""	""	"<font class=dscode>log(x)</font>"	"`log(x)`"	"Use <font class=dscode>log10(x)</font> for base 10."	"Use `log10(x)` for base 10."	"base"	""	""	"R_include SAS_include R_base SAS_base"
